"No.","Time","Source","Destination","Protocol","Length","Info"
"1404","2026/106 15:01:06.620307100","fe80::2043:49ff:fe9d:cea5","ff02::16","ICMPv6","114","Multicast Listener Report Message v2"
"1405","2026/106 15:01:06.709666800","fe80::149c:7fb7:e010:32e6","ff02::fb","MDNS","461","Standard query response 0x0000 TXT PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 61740 Jelissas-MacBook-Air.local AAAA, cache flush fe80::149c:7fb7:e010:32e6 A, cache flush 172.18.81.204 NSEC, cache flush Jelissaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Jelissas-MacBook-Air.local"
"1406","2026/106 15:01:06.709666800","172.18.81.204","224.0.0.251","MDNS","441","Standard query response 0x0000 TXT PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 61740 Jelissas-MacBook-Air.local AAAA, cache flush fe80::149c:7fb7:e010:32e6 A, cache flush 172.18.81.204 NSEC, cache flush Jelissaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Jelissas-MacBook-Air.local"
"1407","2026/106 15:01:06.709666800","22:43:49:9d:ce:a5","Intel_61:82:b7","ARP","60","Gratuitous ARP for 172.18.81.48 (Reply)"
"1408","2026/106 15:01:06.709666800","22:43:49:9d:ce:a5","Intel_61:82:b7","ARP","60","Who has 172.18.80.1? Tell 172.18.81.48"
"1409","2026/106 15:01:06.719661000","fe80::2043:49ff:fe9d:cea5","ff02::16","ICMPv6","114","Multicast Listener Report Message v2"
"1410","2026/106 15:01:06.736340100","172.18.80.46","224.0.0.251","MDNS","435","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::823:2d0c:1e5c:439c A, cache flush 172.18.80.46 SRV, cache flush 0 0 55925 Aaliyahs-MacBook-Air.local NSEC, cache flush Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Aaliyahs-MacBook-Air.local"
"1411","2026/106 15:01:06.736340100","fe80::823:2d0c:1e5c:439c","ff02::fb","MDNS","455","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::823:2d0c:1e5c:439c A, cache flush 172.18.80.46 SRV, cache flush 0 0 55925 Aaliyahs-MacBook-Air.local NSEC, cache flush Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Aaliyahs-MacBook-Air.local"
"1412","2026/106 15:01:06.736340100","172.18.81.79","224.0.0.251","MDNS","423","Standard query response 0x0000 PTR FandoNando (2)._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 50414 FandoNando-2.local AAAA, cache flush fe80::1cef:9980:d068:42d0 A, cache flush 172.18.81.79 NSEC, cache flush FandoNando (2)._companion-link._tcp.local NSEC, cache flush FandoNando-2.local"
"1413","2026/106 15:01:06.737536300","fe80::1cef:9980:d068:42d0","ff02::fb","MDNS","443","Standard query response 0x0000 PTR FandoNando (2)._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 50414 FandoNando-2.local AAAA, cache flush fe80::1cef:9980:d068:42d0 A, cache flush 172.18.81.79 NSEC, cache flush FandoNando (2)._companion-link._tcp.local NSEC, cache flush FandoNando-2.local"
"1414","2026/106 15:01:06.745032000","fe80::8bc:911b:8edc:6f3","ff02::fb","MDNS","442","Standard query response 0x0000 PTR Kiaraâ\200\231s iPad._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 50231 Kiaras-iPad.local AAAA, cache flush fe80::8bc:911b:8edc:6f3 A, cache flush 172.18.81.160 NSEC, cache flush Kiaraâ\200\231s iPad._companion-link._tcp.local NSEC, cache flush Kiaras-iPad.local"
"1415","2026/106 15:01:06.745032000","172.18.81.160","224.0.0.251","MDNS","422","Standard query response 0x0000 PTR Kiaraâ\200\231s iPad._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 50231 Kiaras-iPad.local AAAA, cache flush fe80::8bc:911b:8edc:6f3 A, cache flush 172.18.81.160 NSEC, cache flush Kiaraâ\200\231s iPad._companion-link._tcp.local NSEC, cache flush Kiaras-iPad.local"
"1416","2026/106 15:01:06.745032000","172.18.82.13","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR iPad (2)._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 49176 iPad-2.local AAAA, cache flush fe80::cc4:4664:51f5:53af A, cache flush 172.18.82.13 NSEC, cache flush iPad (2)._companion-link._tcp.local NSEC, cache flush iPad-2.local"
"1417","2026/106 15:01:06.745032000","fe80::cc4:4664:51f5:53af","ff02::fb","MDNS","425","Standard query response 0x0000 PTR iPad (2)._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 49176 iPad-2.local AAAA, cache flush fe80::cc4:4664:51f5:53af A, cache flush 172.18.82.13 NSEC, cache flush iPad (2)._companion-link._tcp.local NSEC, cache flush iPad-2.local"
"1418","2026/106 15:01:06.760723400","172.18.81.238","224.0.0.251","MDNS","429","Standard query response 0x0000 PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 55826 Lydias-MacBook-Air.local AAAA, cache flush fe80::42a:52c3:433d:ac1a A, cache flush 172.18.81.238 NSEC, cache flush Lydiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Lydias-MacBook-Air.local"
"1419","2026/106 15:01:06.760723400","fe80::42a:52c3:433d:ac1a","ff02::fb","MDNS","449","Standard query response 0x0000 PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 55826 Lydias-MacBook-Air.local AAAA, cache flush fe80::42a:52c3:433d:ac1a A, cache flush 172.18.81.238 NSEC, cache flush Lydiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Lydias-MacBook-Air.local"
"1420","2026/106 15:01:06.764689900","fe80::45d:889c:d511:8c83","ff02::fb","MDNS","499","Standard query response 0x0000 PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 61408 Ephraims-MacBook-Air.local AAAA, cache flush fe80::45d:889c:d511:8c83 A, cache flush 172.18.82.0 NSEC, cache flush Ephraimâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Ephraims-MacBook-Air.local"
"1421","2026/106 15:01:06.764689900","172.18.82.0","224.0.0.251","MDNS","479","Standard query response 0x0000 PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 61408 Ephraims-MacBook-Air.local AAAA, cache flush fe80::45d:889c:d511:8c83 A, cache flush 172.18.82.0 NSEC, cache flush Ephraimâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Ephraims-MacBook-Air.local"
"1422","2026/106 15:01:06.766990700","172.18.81.114","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Bucephalus._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 65385 Bucephalus.local AAAA, cache flush fe80::fa:913f:fba8:628f A, cache flush 172.18.81.114 NSEC, cache flush Bucephalus._companion-link._tcp.local NSEC, cache flush Bucephalus.local"
"1423","2026/106 15:01:06.767637900","fe80::fa:913f:fba8:628f","ff02::fb","MDNS","425","Standard query response 0x0000 PTR Bucephalus._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 65385 Bucephalus.local AAAA, cache flush fe80::fa:913f:fba8:628f A, cache flush 172.18.81.114 NSEC, cache flush Bucephalus._companion-link._tcp.local NSEC, cache flush Bucephalus.local"
"1424","2026/106 15:01:06.804290300","172.18.81.11","224.0.0.251","MDNS","470","Standard query response 0x0000 PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::18b4:2c31:80c2:5bb0 A, cache flush 172.18.81.11 SRV, cache flush 0 0 54609 Sophias-MacBook-Air.local NSEC, cache flush Sophiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Sophias-MacBook-Air.local"
"1425","2026/106 15:01:06.804290300","fe80::18b4:2c31:80c2:5bb0","ff02::fb","MDNS","490","Standard query response 0x0000 PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::18b4:2c31:80c2:5bb0 A, cache flush 172.18.81.11 SRV, cache flush 0 0 54609 Sophias-MacBook-Air.local NSEC, cache flush Sophiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Sophias-MacBook-Air.local"
"1426","2026/106 15:01:06.804290300","172.18.80.123","224.0.0.251","MDNS","437","Standard query response 0x0000 PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::1cb7:a0e:ffbb:41f3 A, cache flush 172.18.80.123 SRV, cache flush 0 0 55536 Samanthas-MacBook-Pro.local NSEC, cache flush Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local NSEC, cache flush Samanthas-MacBook-Pro.local"
"1427","2026/106 15:01:06.804290300","fe80::1cb7:a0e:ffbb:41f3","ff02::fb","MDNS","457","Standard query response 0x0000 PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::1cb7:a0e:ffbb:41f3 A, cache flush 172.18.80.123 SRV, cache flush 0 0 55536 Samanthas-MacBook-Pro.local NSEC, cache flush Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local NSEC, cache flush Samanthas-MacBook-Pro.local"
"1428","2026/106 15:01:06.804290300","172.18.81.15","224.0.0.251","MDNS","480","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::10f1:37e7:8161:63f0 A, cache flush 172.18.81.15 SRV, cache flush 0 0 54662 Natalies-MacBook-Pro-2.local NSEC, cache flush Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local NSEC, cache flush Natalies-MacBook-Pro-2.local"
"1429","2026/106 15:01:06.804290300","fe80::10f1:37e7:8161:63f0","ff02::fb","MDNS","500","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::10f1:37e7:8161:63f0 A, cache flush 172.18.81.15 SRV, cache flush 0 0 54662 Natalies-MacBook-Pro-2.local NSEC, cache flush Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local NSEC, cache flush Natalies-MacBook-Pro-2.local"
"1430","2026/106 15:01:06.811478900","fe80::4680:31d8:cb7e:a1e2","ff02::c","UDP/XML","718","54734  >  3702 Len=656"
"1431","2026/106 15:01:06.815507000","172.18.81.43","224.0.0.251","MDNS","448","Standard query response 0x0000 PTR Katieâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 58108 Katies-MacBook-Air-2.local AAAA, cache flush fe80::44f:5704:a3d0:478d A, cache flush 172.18.81.43 NSEC, cache flush Katieâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Katies-MacBook-Air-2.local"
"1432","2026/106 15:01:06.815507000","fe80::44f:5704:a3d0:478d","ff02::fb","MDNS","468","Standard query response 0x0000 PTR Katieâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 58108 Katies-MacBook-Air-2.local AAAA, cache flush fe80::44f:5704:a3d0:478d A, cache flush 172.18.81.43 NSEC, cache flush Katieâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Katies-MacBook-Air-2.local"
"1433","2026/106 15:01:06.815507000","172.18.80.13","224.0.0.251","MDNS","548","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR Guest Bedroom._companion-link._tcp.local PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local PTR Austinâ\200\231s Laptop._companion-link._tcp.local PTR iPad (16)._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR FandoNando (2)._companion-link._tcp.local PTR Kiaraâ\200\231s iPad._companion-link._tcp.local PTR iPad (2)._companion-link._tcp.local PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local PTR Bucephalus._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
"1434","2026/106 15:01:06.815507000","fe80::18f1:f1f5:8f02:8ba0","ff02::fb","MDNS","568","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR Guest Bedroom._companion-link._tcp.local PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local PTR Austinâ\200\231s Laptop._companion-link._tcp.local PTR iPad (16)._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR FandoNando (2)._companion-link._tcp.local PTR Kiaraâ\200\231s iPad._companion-link._tcp.local PTR iPad (2)._companion-link._tcp.local PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local PTR Bucephalus._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
"1435","2026/106 15:01:06.815507000","fe80::1c2f:51b9:70fd:fd6b","ff02::1:fff3:ec66","ICMPv6","90","Neighbor Solicitation for fe80::10c9:cdc2:b3f3:ec66 from fe:b6:bc:8f:1d:95"
"1436","2026/106 15:01:06.844840000","172.18.81.86","224.0.0.251","MDNS","701","Standard query response 0x0000 PTR Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT TXT, cache flush PTR Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 50020 Davids-MacBook-Pro-2.local AAAA, cache flush fe80::1c60:956e:6abe:eee1 SRV, cache flush 0 0 50019 Davids-MacBook-Pro-2.local A, cache flush 172.18.81.86 NSEC, cache flush Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local NSEC, cache flush Davids-MacBook-Pro-2.local NSEC, cache flush Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local"
"1437","2026/106 15:01:06.844840000","fe80::1c60:956e:6abe:eee1","ff02::fb","MDNS","721","Standard query response 0x0000 PTR Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT TXT, cache flush PTR Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 50020 Davids-MacBook-Pro-2.local AAAA, cache flush fe80::1c60:956e:6abe:eee1 SRV, cache flush 0 0 50019 Davids-MacBook-Pro-2.local A, cache flush 172.18.81.86 NSEC, cache flush Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local NSEC, cache flush Davids-MacBook-Pro-2.local NSEC, cache flush Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local"
"1438","2026/106 15:01:06.845923700","fe80::823:2d0c:1e5c:439c","ff02::1:ffbb:8c90","ICMPv6","90","Neighbor Solicitation for fe80::1:343:3bb:8c90 from e6:bd:41:3c:ce:4d"
"1439","2026/106 15:01:06.872575600","172.18.80.71","224.0.0.251","MDNS","111","Standard query 0x0000 TXT Maiaâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question"
"1440","2026/106 15:01:06.872575600","fe80::143d:9362:29ac:e86f","ff02::fb","MDNS","131","Standard query 0x0000 TXT Maiaâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question"
"1441","2026/106 15:01:06.944687400","fe80::603d:7dff:fe4a:faf5","ff02::16","ICMPv6","94","Multicast Listener Report Message v2"
"1442","2026/106 15:01:07.044415600","172.18.81.11","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1443","2026/106 15:01:07.044733000","172.18.80.216","224.0.0.251","MDNS","95","Standard query 0x0000 PTR _hap._tcp.local, ""QM"" question PTR _hap._udp.local, ""QM"" question"
"1444","2026/106 15:01:07.044733000","fe80::1cc1:cf7c:32b2:995e","ff02::fb","MDNS","115","Standard query 0x0000 PTR _hap._tcp.local, ""QM"" question PTR _hap._udp.local, ""QM"" question"
"1445","2026/106 15:01:07.044733000","172.18.81.11","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"1446","2026/106 15:01:07.044733000","fe80::18b4:2c31:80c2:5bb0","ff02::fb","MDNS","111","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"1447","2026/106 15:01:07.044733000","172.18.82.96","224.0.0.251","MDNS","127","Standard query response 0x0000 PTR 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local"
"1448","2026/106 15:01:07.044733000","fe80::468:cd9b:2d31:c48a","ff02::fb","MDNS","147","Standard query response 0x0000 PTR 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local"
"1449","2026/106 15:01:07.138778800","fe80::c32:3843:b289:5956","ff02::fb","MDNS","147","Standard query response 0x0000 PTR 1A07D4D2-4C0D-49F7-9D05-3EF227409EC7._asquic._udp.local"
"1450","2026/106 15:01:07.138778800","172.18.81.246","224.0.0.251","MDNS","127","Standard query response 0x0000 PTR 1A07D4D2-4C0D-49F7-9D05-3EF227409EC7._asquic._udp.local"
"1451","2026/106 15:01:07.144012000","172.18.81.48","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1452","2026/106 15:01:07.188003700","fe80::2043:49ff:fe9d:cea5","ff02::fb","MDNS","111","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"1453","2026/106 15:01:07.188003700","172.18.81.48","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"1454","2026/106 15:01:07.210991800","fe80::4e:86f6:9d38:58bb","ff02::16","ICMPv6","94","Multicast Listener Report Message v2"
"1455","2026/106 15:01:07.411581200","172.18.80.46","224.0.0.251","MDNS","206","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT"
"1456","2026/106 15:01:07.411581200","fe80::823:2d0c:1e5c:439c","ff02::fb","MDNS","226","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT"
"1457","2026/106 15:01:07.411581200","172.18.81.15","224.0.0.251","MDNS","213","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT"
"1458","2026/106 15:01:07.411581200","fe80::10f1:37e7:8161:63f0","ff02::fb","MDNS","233","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT"
"1459","2026/106 15:01:07.411581200","172.18.80.123","224.0.0.251","MDNS","146","Standard query 0x0000 PTR _rfb._tcp.local, ""QM"" question PTR Jelissaâ\200\231s MacBook Air._rfb._tcp.local PTR ENGMO112-11279._rfb._tcp.local"
"1460","2026/106 15:01:07.411581200","fe80::1cb7:a0e:ffbb:41f3","ff02::fb","MDNS","166","Standard query 0x0000 PTR _rfb._tcp.local, ""QM"" question PTR Jelissaâ\200\231s MacBook Air._rfb._tcp.local PTR ENGMO112-11279._rfb._tcp.local"
"1461","2026/106 15:01:07.432222300","fe80::823:2d0c:1e5c:439c","ff02::1:ff9f:45e5","ICMPv6","90","Neighbor Solicitation for fe80::1471:dfbe:439f:45e5 from e6:bd:41:3c:ce:4d"
"1462","2026/106 15:01:07.436535600","172.18.80.189","224.0.0.251","MDNS","477","Standard query response 0x0000 TXT, cache flush PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local TXT AAAA, cache flush fe80::1807:b45b:9a2:82f A, cache flush 172.18.80.189 SRV, cache flush 0 0 52844 Maias-MacBook-Air.local NSEC, cache flush Maiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Maias-MacBook-Air.local"
"1463","2026/106 15:01:07.436535600","fe80::1807:b45b:9a2:82f","ff02::fb","MDNS","497","Standard query response 0x0000 TXT, cache flush PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local TXT AAAA, cache flush fe80::1807:b45b:9a2:82f A, cache flush 172.18.80.189 SRV, cache flush 0 0 52844 Maias-MacBook-Air.local NSEC, cache flush Maiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Maias-MacBook-Air.local"
"1464","2026/106 15:01:07.445886600","fe80::10f1:37e7:8161:63f0","ff02::1:ff9f:45e5","ICMPv6","90","Neighbor Solicitation for fe80::1471:dfbe:439f:45e5 from a4:cf:99:91:0d:ad"
"1465","2026/106 15:01:07.476258100","fe80::10f1:37e7:8161:63f0","ff02::1:ffe3:7110","ICMPv6","90","Neighbor Solicitation for fe80::10b5:340:c8e3:7110 from a4:cf:99:91:0d:ad"
"1466","2026/106 15:01:07.517842200","fe80::4e:86f6:9d38:58bb","ff02::fb","MDNS","728","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question TXT Isaiahâ\200\231s MacBook Pro._companion-link._tcp.local, ""QM"" question TXT Katelynâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question TXT Carter's iPhone (2)._companion-link._tcp.local, ""QM"" question TXT iPad (16)._companion-link._tcp.local, ""QM"" question TXT Sanchezâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question TXT iPad (3)._companion-link._tcp.local, ""QM"" question PTR Rosalieâ\200\231s MacBook Air._companion-link._tcp.local PTR Isaiahâ\200\231s MacBook Pro._companion-link._tcp.local PTR Morganâ\200\231s MacBook Air._companion-link._tcp.local PTR Katelynâ\200\231s MacBook Air._companion-link._tcp.local PTR Carter's iPhone (2)._companion-link._tcp.local PTR Josephineâ\200\231s MacBook Air._companion-link._tcp.local PTR Judithâ\200\231s MacBook Air._companion-link._tcp.local PTR iPad (16)._companion-link._tcp.local PTR LK's Macbook._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Sanchezâ\200\231s MacBook Air._companion-link._tcp.local PTR Grantâ\200\231s MacBook Pro._companion-link._tcp.local PTR FBI Computer 1._companion-link._tcp.local PTR iPad (3)._companion-link._tcp.local PTR Abbeyâ\200\231s iPad._companion-link._tcp.local PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local"
"1467","2026/106 15:01:07.517842200","56:1e:69:17:1f:b9","Intel_61:82:b7","ARP","60","Who has 172.18.80.203? Tell 172.18.82.14"
"1468","2026/106 15:01:07.517842200","56:1e:69:17:1f:b9","Intel_61:82:b7","ARP","60","Who has 172.18.81.141? Tell 172.18.82.14"
"1469","2026/106 15:01:07.517842200","172.18.82.14","224.0.0.251","MDNS","708","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question TXT Isaiahâ\200\231s MacBook Pro._companion-link._tcp.local, ""QM"" question TXT Katelynâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question TXT Carter's iPhone (2)._companion-link._tcp.local, ""QM"" question TXT iPad (16)._companion-link._tcp.local, ""QM"" question TXT Sanchezâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question TXT iPad (3)._companion-link._tcp.local, ""QM"" question PTR Rosalieâ\200\231s MacBook Air._companion-link._tcp.local PTR Isaiahâ\200\231s MacBook Pro._companion-link._tcp.local PTR Morganâ\200\231s MacBook Air._companion-link._tcp.local PTR Katelynâ\200\231s MacBook Air._companion-link._tcp.local PTR Carter's iPhone (2)._companion-link._tcp.local PTR Josephineâ\200\231s MacBook Air._companion-link._tcp.local PTR Judithâ\200\231s MacBook Air._companion-link._tcp.local PTR iPad (16)._companion-link._tcp.local PTR LK's Macbook._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Sanchezâ\200\231s MacBook Air._companion-link._tcp.local PTR Grantâ\200\231s MacBook Pro._companion-link._tcp.local PTR FBI Computer 1._companion-link._tcp.local PTR iPad (3)._companion-link._tcp.local PTR Abbeyâ\200\231s iPad._companion-link._tcp.local PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local"
"1470","2026/106 15:01:07.582497500","fe80::143d:9362:29ac:e86f","ff02::fb","MDNS","677","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR Guest Bedroom._companion-link._tcp.local PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local PTR FandoNando (2)._companion-link._tcp.local PTR Kiaraâ\200\231s iPad._companion-link._tcp.local PTR iPad (2)._companion-link._tcp.local PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local PTR Bucephalus._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Katieâ\200\231s MacBook Air._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local"
"1471","2026/106 15:01:07.582497500","172.18.80.71","224.0.0.251","MDNS","657","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR Guest Bedroom._companion-link._tcp.local PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local PTR FandoNando (2)._companion-link._tcp.local PTR Kiaraâ\200\231s iPad._companion-link._tcp.local PTR iPad (2)._companion-link._tcp.local PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local PTR Bucephalus._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Katieâ\200\231s MacBook Air._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local"
"1472","2026/106 15:01:07.600442400","32:0a:f0:4b:d9:2f","Intel_61:82:b7","ARP","60","Who has 172.18.80.147? Tell 172.18.80.161"
"1473","2026/106 15:01:07.600442400","32:0a:f0:4b:d9:2f","Intel_61:82:b7","ARP","60","Who has 172.18.81.129? Tell 172.18.80.161"
"1474","2026/106 15:01:07.600442400","172.18.80.161","224.0.0.251","MDNS","178","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question TXT Austinâ\200\231s Laptop._companion-link._tcp.local, ""QU"" question PTR Austinâ\200\231s Laptop._companion-link._tcp.local PTR Annaâ\200\231s MacBook Air._companion-link._tcp.local"
"1475","2026/106 15:01:07.600442400","fe80::804:989a:5b1c:ef58","ff02::fb","MDNS","198","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question TXT Austinâ\200\231s Laptop._companion-link._tcp.local, ""QU"" question PTR Austinâ\200\231s Laptop._companion-link._tcp.local PTR Annaâ\200\231s MacBook Air._companion-link._tcp.local"
